title;bookNumber;category_id
Địa lí các tỉnh và thành phố Việt Nam - tập 3;Đ301l_15;1
Địa lí địa phương Sóc Trăng (Tài liệu dạy – học tại các trường THCS và THPT thuộc tỉnh Sóc Trăng);Đ301l_16;3
Địa lí địa phương tỉnh Quảng Ninh (Sách dùng trong trường THCS và THPT);Đ301l_17;10
Địa lí địa phương Trà Vinh;D301l_7;7
Địa lí địa phương Trà Vinh;Đ301l_18;12
Địa lí địa phương Trà Vinh;D301l_8;10
Địa lí trong trường học;D301l_9;7
Địa lí trong trường học - tập 1;Đ301l_19;14
Địa lí trong trường học - tập 2;Đ301l_20;8
Địa lí Trong Trường học tập 2;D301l_10;5
Địa lý 7;D301l_11;7
Địa lý 8;D301l_12;9
Địa lý 9;D301l_13;12
Địa lý các tỉnh và thành phố Việt Nam ( tập 3);D301l_14;6
Địa lý trong trường học;D301l_15;8
Đĩa minh hoạ thơ theo chủ đề (Chủ đề Gia đình, Chủ đề Nghề nghiệp) - (Trẻ 5 -6 tuổi) - Đĩa 2;Đ301m;5
Điều diệu kỳ của cuộc sống;D309d;16
Điều em cần biết khi tham gia giao thông;D309e;15
Điều em cần biết khi tham gia giao thông (Dùng cho HSTHCS);Đ309e;6
Điều kì diệu của cuộc sống;Đ309k;1
Điều kỳ diện của cuộc sống;Đ309k_1;14
Điều lệ trường trung học năm 2007 và chế độ chính sách, quy định mới nhất về trường trung học;Đ309l;4
Điều ý nghĩa nhất trong từng khoảnh khắc cuộc đời;D309y;3
Điều ý nghĩa nhất trong từng khoảnh khắc cuộc đời;Đ309y;3
Digimath 4;D4;8
Digimath 6;D6;16
Digimath 7;D7;5
Digimath 8;D8;16
Digiscience 2;D2;2
Digiscience 4;D4_1;7
Digiscience 6;D6_1;10
Digiscience 7;D7_1;3
Digiscience 8;D8_1;5
Định hướng nghề nghiệp 9 (CTST) - Định hướng nghề nghiệp - SGV;Đ312h;12
Đoàn Thị Điểm - Nguyễn Gia Thiều;Đ406th;10
Đoàn Thị Điểm- Ngô Gia Thiều;D406th;2
Đoàn Thị Điểm,Nguyễn Gia Thiều;D406th_1;14
Đọc - hiểu 34 tác phẩm văn học Ngữ văn 6;Đ419-;16
Đọc - hiểu tác phẩm văn chương trong nhà trường;Đ419-_1;6
Đọc hiểu 28 tác phẩm văn học Ngữ văn 8;Đ419h;9
Đọc Hiểu 31 Tác Phẩm Văn học 7;D419h;3
Đọc hiểu 31 tác phẩm văn học Ngữ văn 7;Đ419h_1;7
Đọc hiểu 34 tác phẩm Văn học 6;D419h_1;15
Đọc hiểu 40 tác phẩm văn học Ngữ văn 9;Đ419h_2;3
Đọc hiểu tác phẩm văn chương trong nhà trường;D419h_2;13
Đọc hiểu tác phẩm văn chương trong nhà trường;D419h_3;8
Đọc hiểu tác phẩm văn học ngữ văn 9;D419h_4;11
Đọc-Hiểu tác phẩm văn học Ngữ văn 8;Dt;14
Đôi bạn bên sông bồ;D452b;15
Đôi bạn bên sông Bồ - Tuổi trẻ cách mạng của đại tướng Nguyễn Chí Thanh và nhà thơ Tố Hữu;Đ452b;1
Đôi bàn tay khéo léo của cha  ông;Đ452b_1;16
Đôi bàn tay khéo léo của cha ông;D452b_1;3
Đôi cánh thiên thần;Đ452c;13
Đội em mang tên người anh hùng;D452e;11
Đổi mới công tác chỉ đạo chuyên môn trong trường THCS vùng khó khăn nhất;Đ452m;2
Đổi mới công tác chỉ đạo chuyên môn trong trường THCS vùng khó khăn nhất;D452m;16
Đổi mới công tác đánh giá (về kết quả học tập của học sinh trường THCS);Đ452m_1;11
Đổi mới công tác đánh giá kết quả học tập;D452m_1;3
Đổi mới công tác đánh giá về kết quả học tập của học sinh trường THCS ;D452m_2;12
Đổi mới công tác đánh giá về kết quả học tập của HS THCS;D452m_3;5
Đổi mới sinh hoạt chuyên môn qua nghiên cứu bài học;D452m_4;14
Đôỉ mới sinh hoạt chuyên môn qua nghiên cứu bài học trong trường THCS vùng khó khăn nhất;Đ452m_2;8
Đồng Bằng Sông Cửu Long đón chào thế kỉ 21;D455b;8
Đồng bằng sông cửu long đón chào thế kỉ 21;Đ455b;7
Động vật và những điều lí thú;D455v;12
Động vật và những điều lý thú;Đ455v;7
Đông y điều trị bệnh tâm thần;D455y;8
Đông y điều trị bệnh tâm thần - thần kinh;Đ455y;12
Đông y điều trị bệnh tâm thần,thần kinh;D455y_1;8
Du hành vào vũ trụ;D500h;3
Du hành vào vũ trụ - Hệ mặt trời và các vì sao;D500h_1;4
Đuốc lá dừa;D514l;15
Đuốc lá dừa;Đ514l;8
Dưới gốc đa thần;D558g;8
Dưới gốc đa thần;D558g_1;12
Dưới tán lá rừng;D558t;5
Dưới tán lá rừng;D558t_1;4
Đường cách mệnh;D561c;2
Đường cách mệnh;D561c_1;10
Đường cách mệnh;Đ561c;1
Đường đời;D561d;8
Đường đời;Đ561đ;12
Đường thẳng và đường tròn trong mặt phẳng;Đ561th;5
Đường thẳng và tròn trong mặt phẳng;D561th;13
Đường về bản;Đ561v;4
Đường về bản;D561v;1
Dzomx-mê cung kì bí;Dc;5
Elon Musk;m;16
Elon Musk Teslsa…….;m_1;13
Em học nhạc trên máy vi tính (phần thực hành - tập 4;E202h;6
Em học nhạc trên máy vi tính (Phần thực hành- tập 4);E202h_1;16
Em sử dụng máy vi tính (Phần thực hành tập 2);E202s;9
Em tập lập trình;E202t;6
Em tập lập trình - Tập 1;E202t_1;3
Em tập lập trình (tập 2);E202t_2;8
Em tập lập trình tập 1-2;E202t_3;3
Em tập lập trình( tập 1);E202t_4;6
Em tập sử dụng máy vi tính (thực hành t2);E202t_5;14
Em tập xử lí văn bản;E202t_6;10
Em tập xử lý văn bản - Phần thực hành tập 6;E202t_7;4
Em yêu khoa học-Chú cá vàng và chuyến du hành đến mặt trăng;E202y;14
Em yêu tổ quốc Việt Nam;E202y_1;5
Em yêu Tổ quốc Việt Nam;E202y_2;3
English workbook 1 lớp 8;w;2
English workbook 2 lớp 8;w_1;1
English workbook 8 - tập 1;w_2;10
English workbook 8 - tập 2;w_3;3
English Workbook 8 tập 2;w_4;13
English Workbook 8 tập 2;w_5;12
Fantômas ở nước Nga Sa Hoàng;o;11
Galileo Galilei;Gg;8
GalileoGalilei;G;10
Gặp Bác;G117b;6
Gặp Bác;G117b_1;2
Gấu nâu trốn ngủ;G125n;15
Gấu nâu trốn ngủ;G125n_1;14
GD hướng nghiệp 9;Gh;2
Gd KN sống trong Môn Địa lí Ở THCS ( Dành Cho GV);Gk;8
GD KN sống trong Môn GDCD THCS;Gk_1;10
GD Thể Chất 6 (CTST);Gth;10
GD thể chất 6 (CTST);Gth_1;4
GD thể chất 7 (Chân trời sáng tạo);Gth_2;3
GD thể chất 8 (KNTT);Gth_3;10
GDCD  6 ( cánh diều);G6;13
GDCD 6;G6_1;13
GDCD 6 ( Cánh diều);G6_2;10
GDCD 7;G7;16
GDCD 8;G8;6
GDCD 8;G8_1;15
GDCD 9;G9;16
GDCD 9( SGV);G9_1;11
GDHN 9 (sgv);G9_2;9
Get it up 4;G207i;5
Ghềnh và sóng;GH256v;8
Ghềnh và sóng;GH256v_1;7
Gia công cắt gọt kim loại;GI100c;15
Gia công cắt gọt kim loại;GI100c_1;12
Giấc mơ của dòng sông;GI119m;6
Giấc mơ của dòng sông;GI119m_1;6
Giải  cứu động vật;GI103c;15
Giải bài tập Toán 6;GI103b;11
Giải bài tập Vật lí 8;GI103b_1;10
Giải bài tập Vật lí 9;GI103b_2;15
Giải bài tập Vật lí 9;GI103b_3;1
Giải BT Vật lý 8;GI103b_4;8
Giải BT vật lý 9;GI103b_5;16
Giải cứu động vật;GI103c_1;13
Giải đáp tình huống  pháp luật dành cho Hiệu trưởng;GI103d;8
Giải đáp tình huống pháp luật dành cho hiệu trưởng;GI103đ;10
Giải mã bí ẩn;GI103m;4
Giải mã bí ẩn (tập 3);GI103m_1;5
Giải nai cho con gái;GI103n;10
Giải Nai cho con gái;GI103n_1;15
Giải ngố cho con trai;GI103ng;2
Giải ngố cho con trai;GI103ng_1;3
Giải oan cho bạn Sói hoang (Con Sói rơi từ trang sách) - Tập 2;GI103o;6
Giải oan cho bạn Sói hoang (Khi kể về loài Sói) - Tập 1;GI103o_1;15
Giải oan cho bạn Sói hoang (Trốn timfcungf sói) - Tập 3;GI103o_2;15
Giải Toán vui vui giải toán;GI103t;5
Giải toán vui, vui giải toán;GI103t_1;12
Giảng Văn Truyện Kiều;GI106v;14
Giảng văn Truyện Kiều;GI106v_1;8
Giáo dục an toàn giao thông lớp 7;GI108d;11
Giáo dục an toàn giao thông lớp 8;GI108d_1;3
Giáo dục an toàn giao thông lớp 9;GI108d_2;7
GIáo dục công dân  6 ( Chân trời sáng tạo );GI108d_3;4
GIáo dục công dân  7 ( Chân trời sáng tạo );GI108d_4;1
Giáo dục Công dân 6;GI108d_5;8
Giáo dục công dân 6 - SGV;GI108d_6;10
Giáo dục công dân 6 - SGV;GI108d_7;2
Giáo dục công dân 6 (Cánh diều);GI108d_8;11
Giáo dục công dân 6 (Chân trời sáng tạo);GI108d_9;2
Giáo dục công dân 6 (CTST);GI108d_10;16
Giáo dục công dân 6 (CTST);GI108d_11;10
Giáo dục công dân 6 -7 (Tài liệu giáo dục địa phương Hải Phòng);GI108d_12;2
Giáo dục công dân 6- 7 (Tài liệu giáo dục địa phương Lào Cai);GI108d_13;12
Giáo dục công dân 6- 7 (Tài liệu giáo dục địa phương Ninh Bình);GI108d_14;12
Giáo dục công dân 6 -7 (Tài liệu giáo dục địa phương Phú Thọ);GI108d_15;3
Giáo dục công dân 6, sách giáo viên;GI108d_16;9
Giáo dục Công Dân 7;GI108d_17;14
Giáo dục công dân 7  (Kết nối tri thức với cuộc sống);GI108d_18;7
Giáo dục công dân 7 - SGV (Chân trời sáng tạo);GI108d_19;12
Giáo dục công dân 7 (Cánh diều);GI108d_20;8
Giáo dục công dân 7 (Chân trời sáng tạo );GI108d_21;1
Giáo dục công dân 7 (Chân trời sáng tạo);GI108d_22;11
Giáo dục công dân 7 (CTST);GI108d_23;16
Giáo dục công dân 7 (CTST);GI108d_24;2
Giáo dục công dân 7, sách giáo viên;GI108d_25;10
Giáo Dục Công Dân 8;GI108d_26;12
Giáo dục công dân 8 - 9 (Tài liệu giáo dục địa phương Hải Phòng);GI108d_27;9
Giáo dục công dân 8 - SGV;GI108d_28;6
Giáo dục công dân 8 (Chân trời sáng tạo);GI108d_29;8
Giáo dục công dân 8 (CTST);GI108d_30;5
Giáo dục công dân 8 (CTST);GI108d_31;2
Giáo dục công dân 8 (Kết nối tri thức);GI108d_32;2
Giáo dục công dân 8- 9 (Tài liệu giáo dục địa phương Lào Cai);GI108d_33;2
Giáo dục công dân 8- 9 (Tài liệu giáo dục địa phương Ninh Bình);GI108d_34;2
Giáo dục công dân 8 -SGV (Chân trời sáng tạo);GI108d_35;3
Giáo dục công dân 8( Chân trời sáng tạo);GI108d_36;5
Giáo dục công dân 8(Chân trời sáng tạo);GI108d_37;15
Giáo dục công dân 8, sách giáo viên;GI108d_38;11
Giáo dục công dân 8-9 (Tài liệu giáo dục địa phương Phú Thọ);GI108d_39;15
Giáo Dục Công Dân 9;GI108d_40;15
Giáo dục công dân 9;GI108d_41;4
Giáo dục công dân 9;GI108d_42;6
Giáo Dục Công Dân 9 (bài tập);GI108d_43;9
